iter	Logloss
0	0.6237204917
1	0.5906278479
2	0.5722666581
3	0.559168433
4	0.5491175659
5	0.5415162475
6	0.533525428
7	0.5268883341
8	0.5212865154
9	0.515635818
10	0.5104228561
11	0.5063336784
12	0.5022538139
13	0.497920868
14	0.4936440986
15	0.4899057872
16	0.4863528198
17	0.4829841543
18	0.4801416665
19	0.4774899606
20	0.4749811716
21	0.4726773498
22	0.4704233179
23	0.4680507855
24	0.46592165
25	0.4640720593
26	0.4621200969
27	0.4602862373
28	0.458548796
29	0.4567457123
30	0.4550962252
31	0.4535668986
32	0.4520027591
33	0.4506647359
34	0.4492375849
35	0.4479056336
36	0.4466666607
37	0.4453094984
38	0.4440424819
39	0.4429639976
40	0.4418284066
41	0.4407338891
42	0.4396138512
43	0.4384522113
44	0.4375073827
45	0.4365139755
46	0.435496411
47	0.4344398548
48	0.4334422549
49	0.4324283935
50	0.431571845
51	0.4307049517
52	0.4298625851
53	0.4290235794
54	0.4281020971
55	0.4272859826
56	0.4263975589
57	0.4256761472
58	0.4247715273
59	0.4239437536
60	0.4231120626
61	0.422414626
62	0.4216780118
63	0.4209553568
64	0.4199990426
65	0.419308598
66	0.4187712776
67	0.4180465084
68	0.4173495107
69	0.4166886123
70	0.4160696861
71	0.4154614032
72	0.4147847151
73	0.4142159319
74	0.413595295
75	0.4129793437
76	0.4123864697
77	0.4118048143
78	0.411276763
79	0.4107334395
80	0.4102497126
81	0.4097039028
82	0.4091302306
83	0.4086031854
84	0.4080198924
85	0.407556539
86	0.4070189527
87	0.4064338558
88	0.4058294251
89	0.4052982331
90	0.4047378974
91	0.4042438119
92	0.4038361025
93	0.4033399173
94	0.4028924124
95	0.4024362835
96	0.4019423662
97	0.4015619246
98	0.4011255129
99	0.400725631
