iter	Passed	Remaining
0	184	18272
1	365	17904
2	543	17587
3	718	17255
4	899	17081
5	1082	16956
6	1255	16676
7	1430	16452
8	1607	16257
9	1777	15993
10	1947	15759
11	2122	15566
12	2294	15358
13	2470	15175
14	2643	14980
15	2815	14779
16	2986	14579
17	3155	14376
18	3323	14167
19	3493	13975
20	3665	13790
21	3838	13609
22	4013	13437
23	4185	13253
24	4353	13059
25	4529	12891
26	4698	12702
27	4868	12519
28	5042	12345
29	5213	12164
30	5387	11992
31	5557	11808
32	5731	11637
33	5900	11454
34	6069	11271
35	6237	11089
36	6405	10905
37	6571	10721
38	6739	10541
39	6907	10361
40	7073	10178
41	7254	10018
42	7421	9837
43	7587	9656
44	7754	9477
45	7920	9298
46	8085	9117
47	8249	8936
48	8414	8758
49	8584	8584
50	8754	8411
51	8922	8235
52	9091	8062
53	9262	7890
54	9427	7713
55	9595	7539
56	9762	7364
57	9928	7189
58	10100	7019
59	10264	6843
60	10432	6669
61	10598	6496
62	10765	6322
63	10932	6149
64	11099	5976
65	11266	5803
66	11433	5631
67	11597	5457
68	11764	5285
69	11936	5115
70	12103	4943
71	12270	4771
72	12444	4602
73	12612	4431
74	12780	4260
75	12948	4089
76	13116	3917
77	13279	3745
78	13445	3574
79	13618	3404
80	13790	3234
81	13957	3063
82	14121	2892
83	14300	2723
84	14470	2553
85	14635	2382
86	14804	2212
87	14970	2041
88	15138	1871
89	15306	1700
90	15473	1530
91	15642	1360
92	15822	1190
93	15986	1020
94	16154	850
95	16323	680
96	16492	510
97	16657	339
98	16823	169
99	16988	0
